author_id	proper_name	dates
401	Шу Цай	(1965-ныне)
402	Шэн Минши	(XVII в.)
403	Шэнь Тяньюй	(1990-ныне)
404	Шэнь Хайгуан	(1973-ныне)
405	Шэнь Юэ	(441-513)
406	Эпические сказания народов Южного Китая	(VII в. ?)
407	Юань Кай	(1340?-1390?)
408	Юань Хаовэнь	(1190-1257)
409	Юань Хуан	(конец XVI в.)
410	Юань Чжэнь	(779 - 831)
411	Юань Шуйпо	(1916-1982)
412	Юй Вэйвэй	(1977-ныне)
413	Юй Гуанчжун	(1928-2017)
414	Юй Синь	(513-581)
415	Юй Сюаньцзи	(844-871)
416	Юй Хуанхао	(ок. 1700)
417	Юй Цянь	(1398-1457)
418	Юнь Хэ	(1942-2012)
419	Юэфу	(Династия Хань 206 до н. э. - 220 н. э.)
420	Ян Ваньли	(1124-1206)
421	Ян Го	(XIII в.)
422	Ян Кэ	(1957-ныне)
423	Ян Хэ	(1971-ныне)
424	Ян Цзи	(1334?-1383)
425	Ян-Гуйфэй	(719-756)
426	Янь Жуй	(1145? –1195?)
427	Янь Дзидао	(1048 - 1113)
428	Янь Шу	(991-1055)
429	Яо Суй	(1239-1314)
